"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","coordinateuncertaintyinmeters","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","isInCluster","geodeticDatum","class","countryCode","country","rightsHolder","identifier","http...unknown.org.nick","verbatimEventDate","datasetName","verbatimLocality","collectionCode","gbifID","occurrenceID","taxonID","catalogNumber","recordedBy","http...unknown.org.occurrenceDetails","institutionCode","rights","eventTime","identificationRemarks","identifiedBy","identificationID","occurrenceRemarks","recordNumber","vernacularName","dataGeneralizations","taxonConceptID","individualCount","depth","continent","locality","fieldNumber","depthAccuracy","informationWithheld","projectId","programmeAcronym","institutionKey","eventID","samplingEffort","datasetID","samplingProtocol","language","otherCatalogNumbers","locationRemarks","sex","waterBody","collectionKey","institutionID","dynamicProperties","type","preparations","higherGeographyID","higherGeography","nomenclaturalCode","georeferencedBy","georeferenceProtocol","georeferenceVerificationStatus","verbatimCoordinateSystem","disposition","ownerInstitutionCode","startDayOfYear","higherClassification","georeferenceSources","name"
2580270250,"Scylla serrata (Forskål, 1775)",-16.904031,145.753862,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-09T19:48:14.132+00:00","2021-05-09T22:55:10.462+00:00",263,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2225562,1,54,229,637,4555,2225561,2225562,2225562,"Scylla serrata (Forskål, 1775)","Animalia","Arthropoda","Decapoda","Portunidae","Scylla","Scylla serrata","Scylla","serrata","SPECIES","ACCEPTED","2020-03-20T01:08:06",6,"Queensland",2020,3,2,"2020-03-02T18:17:09","2020-03-20T04:52:08.000+00:00","2021-05-09T22:55:10.462+00:00","https://www.inaturalist.org/observations/39445220","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Malacostraca","AU","Australia","Bradley Rasmussen","39445220","bradleyfishes","2020-03-02 6:17:09 PM GMT+10:00","iNaturalist research-grade observations","The Lakes Resort & Spa, Cairns North QLD 4870, Australia","Observations",2580270250,"https://www.inaturalist.org/observations/39445220",340825,"39445220","Bradley Rasmussen","https://www.inaturalist.org/observations/39445220","iNaturalist","© Bradley Rasmussen some rights reserved","08:17:09Z","agreed","Thomas Mesaglio",91106160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scylla serrata (Forskål, 1775)"
1986624351,"Scylla serrata (Forskål, 1775)",-16.881187,145.761769,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-09T19:48:14.132+00:00","2021-05-09T22:30:41.183+00:00",263,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2225562,1,54,229,637,4555,2225561,2225562,2225562,"Scylla serrata (Forskål, 1775)","Animalia","Arthropoda","Decapoda","Portunidae","Scylla","Scylla serrata","Scylla","serrata","SPECIES","ACCEPTED","2019-01-10T00:05:22",24,"Queensland",2019,1,8,"2019-01-08T00:00:00","2019-01-10T07:13:40.000+00:00","2021-05-09T22:30:41.183+00:00","https://www.inaturalist.org/observations/19542113","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Malacostraca","AU","Australia","Allan Lugg","19542113","allanlugg","2019-01-08","iNaturalist research-grade observations","Jack Barnes Bicentennial Mangrove Boardw, Aeroglen QLD 4870, Australia","Observations",1986624351,"https://www.inaturalist.org/observations/19542113",340825,"19542113","Allan Lugg","https://www.inaturalist.org/observations/19542113","iNaturalist","© Allan Lugg some rights reserved",NA,NA,"Allan Lugg",42866706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scylla serrata (Forskål, 1775)"
2242866474,"Scylla serrata (Forskål, 1775)",-16.892923,145.760537,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-09T19:48:14.132+00:00","2021-05-09T22:31:14.549+00:00",263,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2225562,1,54,229,637,4555,2225561,2225562,2225562,"Scylla serrata (Forskål, 1775)","Animalia","Arthropoda","Decapoda","Portunidae","Scylla","Scylla serrata","Scylla","serrata","SPECIES","ACCEPTED","2019-05-06T06:28:46",31,"Queensland",2019,4,3,"2019-04-03T16:19:00","2019-05-13T08:49:07.000+00:00","2021-05-09T22:31:14.549+00:00","https://www.inaturalist.org/observations/24651013","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Malacostraca","AU","Australia","jorgejuanrueda","24651013","jorgejuanrueda","2019/04/03 4:19 PM CEST","iNaturalist research-grade observations","Cairns QLD, Australia","Observations",2242866474,"https://www.inaturalist.org/observations/24651013",340825,"24651013","jorgejuanrueda","https://www.inaturalist.org/observations/24651013","iNaturalist","© jorgejuanrueda some rights reserved","14:19:00Z",NA,"Valentin de Mazancourt",54014907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scylla serrata (Forskål, 1775)"
2273270962,"Scylla serrata (Forskål, 1775)",-16.491504,145.4673,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-09T19:48:14.132+00:00","2021-05-09T22:54:16.133+00:00",263,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2225562,1,54,229,637,4555,2225561,2225562,2225562,"Scylla serrata (Forskål, 1775)","Animalia","Arthropoda","Decapoda","Portunidae","Scylla","Scylla serrata","Scylla","serrata","SPECIES","ACCEPTED","2019-06-24T09:30:23",NA,"Queensland",2019,6,22,"2019-06-22T11:40:00","2019-06-24T10:18:49.000+00:00","2021-05-09T22:54:16.133+00:00","https://www.inaturalist.org/observations/27552914","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Malacostraca","AU","Australia","apteryxrowi","27552914","apteryxrowi","2019/06/22 11:40 AM EDT","iNaturalist research-grade observations","Douglas, Queensland, Australia","Observations",2273270962,"https://www.inaturalist.org/observations/27552914",340825,"27552914","apteryxrowi","https://www.inaturalist.org/observations/27552914","iNaturalist","© apteryxrowi some rights reserved","15:40:00Z",NA,"Valentin de Mazancourt",60059926,"possibly brought to beach and eaten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scylla serrata (Forskål, 1775)"
2988379367,"Scylla serrata (Forskål, 1775)",-20.071922,148.270218,"gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-09T19:48:14.132+00:00","2021-05-09T23:15:16.478+00:00",263,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2225562,1,54,229,637,4555,2225561,2225562,2225562,"Scylla serrata (Forskål, 1775)","Animalia","Arthropoda","Decapoda","Portunidae","Scylla","Scylla serrata","Scylla","serrata","SPECIES","ACCEPTED","2019-06-29T13:49:31",NA,"Queensland",2019,6,29,"2019-06-29T15:51:00","2020-11-21T09:43:50.000+00:00","2021-05-09T23:15:16.478+00:00","https://www.inaturalist.org/observations/27860923","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"WGS84","Malacostraca","AU","Australia","QuestaGame","27860923","questagame","2019-06-29T15:51","iNaturalist research-grade observations","Bowen, AU-QL, AU","Observations",2988379367,"https://www.inaturalist.org/observations/27860923",340825,"27860923","QuestaGame","https://www.inaturalist.org/observations/27860923","iNaturalist","© QuestaGame some rights reserved","05:51:00Z",NA,"Valentin de Mazancourt",60716315,"Sighting and photos (c) mrs_norman. Field Notes - A beautiful big Jenny, sent straight back into Adelaide Creek near Bowen.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scylla serrata (Forskål, 1775)"
2429600965,"Scylla serrata (Forskål, 1775)",-16.103294,145.449895,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-09T19:48:14.132+00:00","2021-05-09T22:31:40.101+00:00",263,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2225562,1,54,229,637,4555,2225561,2225562,2225562,"Scylla serrata (Forskål, 1775)","Animalia","Arthropoda","Decapoda","Portunidae","Scylla","Scylla serrata","Scylla","serrata","SPECIES","ACCEPTED","2019-10-15T16:24:13",208,"Queensland",2019,10,2,"2019-10-02T22:24:00","2019-10-15T21:50:23.000+00:00","2021-05-09T22:31:40.101+00:00","https://www.inaturalist.org/observations/34413383","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Malacostraca","AU","Australia","ashlencampbell","34413383","ashlencampbell","2019/10/02 10:24 PM +1000","iNaturalist research-grade observations","Cape Tribulation QLD 4873, Australia","Observations",2429600965,"https://www.inaturalist.org/observations/34413383",340825,"34413383","ashlencampbell","https://www.inaturalist.org/observations/34413383","iNaturalist","© ashlencampbell some rights reserved","12:24:00Z",NA,"ashlencampbell",74593354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scylla serrata (Forskål, 1775)"
2988608392,"Scylla serrata (Forskål, 1775)",-16.137841,145.44065,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-09T19:48:14.132+00:00","2021-05-09T22:31:46.780+00:00",263,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2225562,1,54,229,637,4555,2225561,2225562,2225562,"Scylla serrata (Forskål, 1775)","Animalia","Arthropoda","Decapoda","Portunidae","Scylla","Scylla serrata","Scylla","serrata","SPECIES","ACCEPTED","2019-10-12T11:45:09",123,"Queensland",2019,10,1,"2019-10-01T22:03:00","2020-11-21T10:12:23.000+00:00","2021-05-09T22:31:46.780+00:00","https://www.inaturalist.org/observations/34241484","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Malacostraca","AU","Australia","Emma","34241484","eorwin","2019/10/01 10:03 PM AEST","iNaturalist research-grade observations","Cape Tribulation QLD 4873, Australia","Observations",2988608392,"https://www.inaturalist.org/observations/34241484",340825,"34241484","Emma","https://www.inaturalist.org/observations/34241484","iNaturalist","© Emma some rights reserved","12:03:00Z",NA,"Emma",74215866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scylla serrata (Forskål, 1775)"
2557790991,"Scylla serrata (Forskål, 1775)",-16.894681,145.755943,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-09T19:48:14.132+00:00","2021-05-09T22:55:31.360+00:00",263,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2225562,1,54,229,637,4555,2225561,2225562,2225562,"Scylla serrata (Forskål, 1775)","Animalia","Arthropoda","Decapoda","Portunidae","Scylla","Scylla serrata","Scylla","serrata","SPECIES","ACCEPTED","2020-01-14T05:53:43",47,"Queensland",2019,11,9,"2019-11-09T09:46:00","2020-01-14T22:13:19.000+00:00","2021-05-09T22:55:31.360+00:00","https://www.inaturalist.org/observations/37578641","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Malacostraca","AU","Australia","Jock Mackenzie","37578641","mangrovewatch","2019/11/09 9:46 AM AEDT","iNaturalist research-grade observations","Cairns QLD, Australia","Observations",2557790991,"https://www.inaturalist.org/observations/37578641",340825,"37578641","Jock Mackenzie","https://www.inaturalist.org/observations/37578641","iNaturalist","© Jock Mackenzie some rights reserved","22:46:00Z",NA,"Jock Mackenzie",83531573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scylla serrata (Forskål, 1775)"
2988350314,"Scylla serrata (Forskål, 1775)",-16.845344,145.74466,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-09T19:48:14.132+00:00","2021-05-09T22:30:15.254+00:00",263,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2225562,1,54,229,637,4555,2225561,2225562,2225562,"Scylla serrata (Forskål, 1775)","Animalia","Arthropoda","Decapoda","Portunidae","Scylla","Scylla serrata","Scylla","serrata","SPECIES","ACCEPTED","2018-03-13T09:38:04",30,"Queensland",2018,3,10,"2018-03-10T11:42:00","2020-11-21T09:44:05.000+00:00","2021-05-09T22:30:15.254+00:00","https://www.inaturalist.org/observations/10217251","http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"WGS84","Malacostraca","AU","Australia","coenobita","10217251","coenobita","2018/03/10 11:42 AM AEST","iNaturalist research-grade observations","Barr Creek Mouth, Holloways Beach QLD 4878, Australia","Observations",2988350314,"https://www.inaturalist.org/observations/10217251",340825,"10217251","coenobita","https://www.inaturalist.org/observations/10217251","iNaturalist","© coenobita some rights reserved","01:42:00Z",NA,"coenobita",22660093,"Photo taken through a tree but can see detail of nippers and face.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scylla serrata (Forskål, 1775)"
2465216274,"Scylla serrata (Forskål, 1775)",-16.261092,145.372304,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-09T19:48:14.132+00:00","2021-05-09T22:31:54.847+00:00",263,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2225562,1,54,229,637,4555,2225561,2225562,2225562,"Scylla serrata (Forskål, 1775)","Animalia","Arthropoda","Decapoda","Portunidae","Scylla","Scylla serrata","Scylla","serrata","SPECIES","ACCEPTED","2019-11-28T12:11:21",61,"Queensland",2018,6,15,"2018-06-15T00:00:00","2019-11-28T20:17:07.000+00:00","2021-05-09T22:31:54.847+00:00","https://www.inaturalist.org/observations/36157826","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Malacostraca","AU","Australia","David White","36157826","davidgwhite","2018/06/15 4:12 PM UTC","iNaturalist research-grade observations","Lower Daintree QLD 4873, Australia","Observations",2465216274,"https://www.inaturalist.org/observations/36157826",340825,"36157826","David White","https://www.inaturalist.org/observations/36157826","iNaturalist","© David White some rights reserved",NA,NA,"David White",79094323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scylla serrata (Forskål, 1775)"
3003974820,"Scylla serrata (Forskål, 1775)",-20.68198,164.36041,"gass84,osiic","da6a07ed-9eee-460d-9448-910f542c1a7b","2cd829bb-b713-433d-99cf-64bef11e5b3e","86c2834b-fcd6-418d-9b32-aca45110a0fe","FR","DWC_ARCHIVE","2021-05-12T10:56:21.982+00:00","2021-05-12T10:57:24.472+00:00",368,"2cd829bb-b713-433d-99cf-64bef11e5b3e","PRESERVED_SPECIMEN","PRESENT",2225562,1,54,229,637,4555,2225561,2225562,2225562,"Scylla serrata (Forskål, 1775)","Animalia","Arthropoda","Decapoda","Portunidae","Scylla","Scylla serrata","Scylla","serrata","SPECIES","ACCEPTED",NA,NA,NA,2018,9,1,"2018-09-01T00:00:00",NA,"2021-05-12T10:57:24.472+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"WGS84","Malacostraca","NC","New Caledonia",NA,"http://coldb.mnhn.fr/catalognumber/mnhn/iu/2018-1226",NA,NA,NA,NA,"IU",3003974820,"http://coldb.mnhn.fr/catalognumber/mnhn/iu/2018-1226",NA,"2018-1226","La Planète Revisitée",NA,"MNHN",NA,NA,NA,"Anker A. & Duris Z.",NA,NA,NA,NA,NA,NA,1,0,"OCEANIA","Pwegue, Kaala-Gomen (south of Koumac)","KOUMAC 2.1/KM500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scylla serrata (Forskål, 1775)"
3003974826,"Scylla serrata (Forskål, 1775)",-20.35333,164.39667,"gass84,osiic","da6a07ed-9eee-460d-9448-910f542c1a7b","2cd829bb-b713-433d-99cf-64bef11e5b3e","86c2834b-fcd6-418d-9b32-aca45110a0fe","FR","DWC_ARCHIVE","2021-05-12T10:56:21.982+00:00","2021-05-12T10:57:24.474+00:00",368,"2cd829bb-b713-433d-99cf-64bef11e5b3e","PRESERVED_SPECIMEN","PRESENT",2225562,1,54,229,637,4555,2225561,2225562,2225562,"Scylla serrata (Forskål, 1775)","Animalia","Arthropoda","Decapoda","Portunidae","Scylla","Scylla serrata","Scylla","serrata","SPECIES","ACCEPTED",NA,NA,NA,2018,9,25,"2018-09-25T00:00:00",NA,"2021-05-12T10:57:24.474+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"WGS84","Malacostraca","NC","New Caledonia",NA,"http://coldb.mnhn.fr/catalognumber/mnhn/iu/2018-1203",NA,NA,NA,NA,"IU",3003974826,"http://coldb.mnhn.fr/catalognumber/mnhn/iu/2018-1203",NA,"2018-1203","La Planète Revisitée",NA,"MNHN",NA,NA,NA,"Anker A. & Duris Z.",NA,NA,NA,NA,NA,NA,1,1.5,"OCEANIA","DIAHOT","LPR-NC DIAHOT/KT109",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scylla serrata (Forskål, 1775)"
2603286792,"Scylla serrata (Forskål, 1775)",-16.261092,145.372304,"cdround,gass84","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2021-05-09T19:48:14.132+00:00","2021-05-09T22:31:45.035+00:00",263,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2225562,1,54,229,637,4555,2225561,2225562,2225562,"Scylla serrata (Forskål, 1775)","Animalia","Arthropoda","Decapoda","Portunidae","Scylla","Scylla serrata","Scylla","serrata","SPECIES","ACCEPTED","2019-11-27T05:08:37",61,"Queensland",2015,11,4,"2015-11-04T00:00:00","2021-01-01T23:47:12.000+00:00","2021-05-09T22:31:45.035+00:00","https://www.inaturalist.org/observations/36119059","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"WGS84","Malacostraca","AU","Australia","David White","36119059","davidgwhite","2015/11/04 1:28 PM UTC","iNaturalist research-grade observations","Lower Daintree QLD 4873, Australia","Observations",2603286792,"https://www.inaturalist.org/observations/36119059",340825,"36119059","David White","https://www.inaturalist.org/observations/36119059","iNaturalist","© David White some rights reserved",NA,"largely based on size!","Pete Woodall",78991438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scylla serrata (Forskål, 1775)"
